"filename", "language", "JSON with Comments", "Markdown", "JSON", "C++", "C#", "Python", "Rust", "TypeScript JSX", "pip requirements", "TypeScript", "HTML", "comment", "blank", "total"
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\sidebar\cgs_explorer.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 367, 0, 22, 43, 432
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\sidebar\component_inspector.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 229, 0, 23, 26, 278
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\sidebar\entity_tree.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 349, 0, 24, 40, 413
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\sidebar\system_list.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 240, 0, 12, 35, 287
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\state\cgs_store.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 167, 0, 64, 36, 267
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\state\console_state_machine.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 252, 0, 84, 50, 386
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\state\ui_store.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 157, 0, 36, 48, 241
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\telemetry\cost_chart.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 223, 0, 21, 28, 272
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\telemetry\inference_telemetry_panel.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 5, 0, 6
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\types\cgs.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 260, 0, 38, 49, 347
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\types\pil.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 235, 0, 25, 44, 304
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\views\processing_view.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 315, 0, 28, 59, 402
